x	MP_E25_2B_DY20	MP_E29_1B_DY20	MP_E31_1B_DY20	MP_E33_1B_DY20	MP_E27_2B_DY20	MP_E35_1B_DY20	MP_E37_1B_DY20	MP_E71_1B_DY20	MP_E294_1B_NO20	MP_E40_1B_DY20	MP_E290_2B_NO20	MP_E42_1B_DY20	MP_E288_1B_NO20	MP_E46_1B_DY20	MP_E296_1B_NO20	MP_E44_DY20	MP_E298_1B_NO20	MP_E300_2B_NO20	MP_E268_1B_NO20	MP_E266_2B_NO20	MP_E48_1B_DY20	MP_E264_1B_NO20	MP_E50_1B_DY20	MP_E262_1B_NO20	MP_E260_2B_NO20	MP_E52_1B_DY20	MP_E258_2B_NO20	MP_E54_2B_DY20	MP_E63_1B_DY20	MP_E61_1B_DY20	MP_E59_1B_DY20	MP_E236_1B_NO20	MP_E57_1B_DY20	MP_E65_1B_DY20	MP_E256_1B_NO20	MP_E254_NO20	MP_E252_2B_NO20	MP_E67_1B_DY20	MP_E248_2B_NO20	MP_E69_1B_DY20	MP_E246_1B_NO20	MP_E244_2B_NO20	MP_E26_1B_DY20	MP_E30_1B_DY20	MP_E32_1B_DY20	MP_E34_1B_DY20	MP_E28_1B_DY20	MP_E36_2B_DY20	MP_E38_1B_DY20	MP_E72_1B_DY20	MP_E293_1B_NO20	MP_E39_1B_DY20	MP_E289_2B_NO20	MP_E43_1B_DY20	MP_E287_1B_NO20	MP_E47_1B_DY20	MP_E295_1B_NO20	MP_E45_1B_DY20	MP_E297_1B_NO20	MP_E299_1B_NO20	MP_E271_1B_NO20	MP_E267_1B_NO20	MP_E49_2B_DY20	MP_E263_2B_NO20	MP_E51_1B_DY20	MP_E261_1B_NO20	MP_E259_1B_NO20	MP_E53_2B_DY20	MP_E257_1B_NO20	MP_E55_1B_DY20	MP_E64_1B_DY20	MP_E62_1B_DY20	MP_E60_1B_DY20	MP_E235_1B_NO20	MP_E58_2B_DY20	MP_E66_1B_DY20	MP_E255_1B_NO20	MP_E253_NO20	MP_E251_1B_NO20	MP_E68_1B_DY20	MP_E247_1B_NO20	MP_E70_1B_DY20	MP_E245_1B_NO20	MP_E243_1B_NO20
ASV_21	0	0	10	10	6	0	251	0	0	110	0	0	1	87	0	96	0	0	418	0	156	2	18	0	2	0	0	0	94	116	145	428	1638	232	97	706	979	56	230	179	214	62	7770	0	14	16	5	12	57	120	5	156	0	0	0	186	0	20	0	1	0	1177	123	0	16	12	17	0	0	9	81	0	101	2202	55	302	173	231	482	21	12	11	28	506
ASV_22	54	269	552	546	0	236	242	33	11	141	74	481	124	5	71	131	56	100	25	51	147	105	252	13	27	148	5	228	148	143	423	0	261	324	34	37	21	172	6	446	26	90	11	7	8	16	265	84	1127	158	58	188	108	564	228	389	34	20	101	60	159	118	338	275	504	376	112	261	153	727	899	931	239	10	2234	474	22	67	50	463	89	1419	60	207
ASV_23	0	13	69	97	540	186	150	75	9	349	119	411	280	87	126	393	0	368	16	105	112	27	795	39	36	50	19	153	110	205	237	113	346	164	76	92	100	80	4	219	12	56	374	182	585	563	0	443	1096	430	84	526	103	1544	367	276	27	279	126	181	71	34	159	195	1040	160	33	781	262	798	101	230	64	0	595	160	20	32	29	120	88	458	32	84
ASV_24	0	0	0	0	0	0	3	0	0	0	0	2	6	0	0	9	0	62	29	0	16	0	20	0	0	0	0	0	98	28	49	0	40	67	9	0	16	66	0	36	0	6	0	0	0	6	0	0	6	41	3	10	0	24	29	29	0	0	17	34	18	87	75	14	128	10	0	137	67	30	5525	3443	347	0	1618	290	211	790	546	1367	727	2529	99	238
ASV_25	0	22	1	61	0	0	1244	57	0	3356	29	980	18	343	2	820	0	12	8	2	1933	0	60	1	0	0	0	41	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	303	212	0	2615	45	851	25	1205	1	2924	7	11	10	12	0	13	44	50	0	125	14	138	0	0	26	0	0	14	0	0	0	0	0	0	0	0
ASV_26	25	69	208	183	233	66	179	10	26	40	59	92	87	0	88	987	0	137	7	26	0	8	189	0	0	56	0	38	36	62	62	29	50	0	0	56	34	16	0	53	0	33	28	163	183	208	35	548	3011	296	190	199	48	984	117	1313	41	0	49	49	101	27	601	778	595	408	182	261	215	133	278	299	54	50	250	89	0	125	95	375	290	1046	70	352
ASV_27	421	4625	3666	4175	0	502	964	64	5	137	6	97	0	23	24	14	29	0	0	0	232	0	0	0	0	27	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	4	1074	0	0	0	37	0	56	13	0	44	17	190	27	0	5	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14984	0	0	0	0	0	0	0	0	0	0	0	0
ASV_29	252	1560	126	1960	14	320	523	888	19	50	1147	14	44	0	145	840	42	150	16	0	0	0	8	0	0	3041	0	11	0	0	0	0	0	0	0	0	0	196	0	30	0	0	1034	223	35	136	8	8	75	0	106	62	1025	14	86	78	44	0	10	31	0	2	164	0	27	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_30	0	0	0	0	176	0	0	0	5	105	0	13	560	0	199	195	8	230	7	5	3	35	378	0	0	15	0	66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1514	2223	920	0	401	702	242	19	68	3	230	519	44	84	0	0	146	342	8	387	145	489	39	527	2073	598	455	5	0	0	0	51	0	3	0	0	0	2	0	0	0
