"All percentages range 0-100% of the total count for either Eukaryotes or Prokaryotes, with exception of the first three data rows (% Known, % Eukaryote, % Prokaryote), which represent %s of total reads."																																																																																						
Taxonomy String (K->S)	Terminal Taxa	MP_E25_2B_DY20	MP_E29_1B_DY20	MP_E31_1B_DY20	MP_E33_1B_DY20	MP_E27_1B_DY20	MP_E35_1B_DY20	MP_E37_1B_DY20	MP_E71_1B_DY20	MP_E294_1B_NO20	MP_E40_1B_DY20	MP_E290_1B_NO20	MP_E42_1B_DY20	MP_E288_1B_NO20	MP_E46_2B_DY20	MP_E296_1B_NO20	MP_E44_DY20	MP_E298_1B_NO20	MP_E300_1B_NO20	MP_E272_2B_NO20	MP_E268_1B_NO20	MP_E266_2B_NO20	MP_E48_1B_DY20	MP_E264_1B_NO20	MP_E50_1B_DY20	MP_E262_1B_NO20	MP_E260_1B_NO20	MP_E52_1B_DY20	MP_E258_1B_NO20	MP_E54_1B_DY20	MP_E63_1B_DY20	MP_E61_1B_DY20	MP_E59_1B_DY20	MP_E236_1B_NO20	MP_E57_1B_DY20	MP_E65_1B_DY20	MP_E256_1B_NO20	MP_E254_NO20	MP_E252_2B_NO20	MP_E67_1B_DY20	MP_E248_1B_NO20	MP_E69_1B_DY20	MP_E246_1B_NO20	MP_E244_1B_NO20	MP_E26_1B_DY20	MP_E30_1B_DY20	MP_E32_1B_DY20	MP_E34_1B_DY20	MP_E28_1B_DY20	MP_E36_1B_DY20	MP_E38_1B_DY20	MP_E72_1B_DY20	MP_E293_1B_NO20	MP_E39_1B_DY20	MP_E289_1B_NO20	MP_E43_1B_DY20	MP_E287_1B_NO20	MP_E47_1B_DY20	MP_E295_1B_NO20	MP_E45_1B_DY20	MP_E297_1B_NO20	MP_E299_1B_NO20	MP_E271_1B_NO20	MP_E267_1B_NO20	MP_E49_1B_DY20	MP_E263_2B_NO20	MP_E51_1B_DY20	MP_E261_2B_NO20	MP_E259_1B_NO20	MP_E53_1B_DY20	MP_E257_1B_NO20	MP_E55_1B_DY20	MP_E64_1B_DY20	MP_E62_1B_DY20	MP_E60_1B_DY20	MP_E235_1B_NO20	MP_E58_1B_DY20	MP_E66_1B_DY20	MP_E255_1B_NO20	MP_E253_NO20	MP_E251_1B_NO20	MP_E68_1B_DY20	MP_E247_1B_NO20	MP_E70_1B_DY20	MP_E245_1B_NO20	MP_E243_1B_NO20
Eukaryota;Ciliophora;Spirotrichea;NA;NA;NA;NA	Spirotrichea		0.12	0.77	0.38		0.11	0.62	0.16	0.34	0.07	0.65	0.26	0.58		2.88	0.02	2.06	0.31		0.05	0.28		0.09	0.28			0.03			0.14	0.45	1.08	3.73	0.76	0.38	0.77	0.5	0.6	1.73	1.29	0.34	0.86	0.86	0.21	2.58	3.38	5.89	2.63	1.76	1.28	2.51	0.11	0.13	0.2	0.23	0.18	0.42	0.99			0.22		0.11		3.61	0.31		2.07	3.59	1.56	0.05	1.34	3.55	0.8	0.35	0.56	0.17	0.37	0.95	1.1	1.49	2.37	3.2	3.93	2.46
Eukaryota;Ciliophora;Spirotrichea;Strombidiidae__o;NA;NA;NA	Strombidiidae__o																																																				0.07																					0.08					0.3			0.17		0.33	0.61	
Eukaryota;Ciliophora;Spirotrichea;Strombidiidae__o;Strombidiidae;Apostrombidium;Apostrombidium pseudokielum	Apostrombidium pseudokielum						0.08																																													0.21																																		
Eukaryota;Ciliophora;Spirotrichea;Strombidiidae__o;Strombidiidae;Parallelostrombidium;Parallelostrombidium conicum	Parallelostrombidium conicum																																											0.02																													0.22	0.13	1.59		0.1	0.17	0.37		0.04	0.91	0.16			
Eukaryota;Ciliophora;Spirotrichea;Strombidiidae__o;Strombidiidae;Strombidium;NA	Strombidium												0.09												0.49						0.74	1.37	0.47			1.14				0.18		1.17	0.44	0.15																													0.87	2.24	1.09	0.05	0.62	0.19				0.25		0.44		
Eukaryota;Ciliophora;Spirotrichea;Strombidiidae__o;Strombidiidae;Strombidium;Strombidium caudispina	Strombidium caudispina							0.21	0.03	0.26		0.55	0.84				0.43	0.22				0.13	0.12	0.06		2.07			0.15		0.18	0.25	0.41		0.25	0.1	0.41	0.16	0.69	0.31	0.47	0.55	0.72	0.42								0.35		0.05					0.21	0.01			0.14	0.38	0.18	1.25	0.09	2.43			0.48		2.77	0.54	1.31			0.27			0.53	3.03	0.63	2.43	1.11	0.69
Eukaryota;Ciliophora;Spirotrichea;Strombidiidae__o;Strombidiidae;Strombidium;Strombidium chlorophilum	Strombidium chlorophilum												0.09	0.06																						0.07													0.02																																					
Eukaryota;Ciliophora;Spirotrichea;Strombidiidae__o;Strombidiidae;Strombidium;Strombidium sp_	Strombidium sp_		0.3	0.55	0.32		0.19	0.65	0.13	0.71		2.6	0.12			3.18	0.53	2.76	0.16		0.46	0.86	0.44	0.22		0.12	0.39	0.31	0.46	0.69	1.37	0.17	0.68		0.81	0.58	0.26	0.44	0.8	1.87		1.08	0.53	0.51		0.86	1.45	0.16	1.43	0.84	0.58	0.32	1.04		2.61		0.09	0.03	1.82		0.45			1.49	0.88	21.88	0.09	3.1	1.34	0.47	0.48	0.49		1.78	1.65	1.36	1.28	0.19	0.52		0.22	1.41	0.47	2.65		0.73
Eukaryota;Ciliophora;Spirotrichea;Strombidiidae__o;Strombidiidae;Strombidium;Strombidium sp_ SNB99_2	Strombidium sp_ SNB99_2																								0.05						0.38	0.29	0.7		0.1		0.19	0.06	0.04	0.29	0.07	0.02		0.1				0.36																			0.12						0.3	1.29	0.09		0.05		0.52		0.44	3.24	1.34	0.33	0.86	
Eukaryota;Ciliophora;Spirotrichea;Tintinnida;Codonellidae;Tintinnopsis;NA	Tintinnopsis						0.07							0.42		0.79	0.11	0.16	0.16					0.07						0.21							0.03					0.05							0.13			2.65	0.15		0.2		0.05				0.5	0.14			0.23	1.31		1.35		1.53		0.49		0.75	0.17	0.11	0.97			0.16			0.32			2.3
Eukaryota;Ciliophora;Spirotrichea;Tintinnida;NA;NA;NA	Tintinnida	0.05		0.05	0.02			0.11								0.24																																	0.16										0.21																											
Eukaryota;Ciliophora;Spirotrichea;Tintinnida;Ptychocylididae;Ptychocylis;Ptychocylis minor	Ptychocylis minor			0.25	0.09											0.57														0.03					0.1		0.19	0.29	0.27		0.17	0.03							0.32				0.44						0.6							1.12																				
Eukaryota;Ciliophora;Spirotrichea;Tintinnida;Tintinnidae;Eutintinnus;Eutintinnus cf_ apertus	Eutintinnus cf_ apertus											0.13	0.01										0.05							0.03																						0.16				1.28							0.07	0.11								0.11														
Eukaryota;Ciliophora;Spirotrichea;Tintinnida;Tintinnidae;NA;NA	Tintinnidae									0.51		0.62				0.14		0.09																																					0.94									0.12																						
Eukaryota;Ciliophora;Spirotrichea;Tintinnida;Tintinnidae;Salpingella;Salpingella sp_	Salpingella sp_									0.06																																														0.2		0.13						0.04		0.46			2.58		0.84															0.2
Eukaryota;Ciliophora;Spirotrichea;Tintinnida;Xystonellidae;Parafavella;NA	Parafavella		0.24	0.2			0.82	0.2		0.85						0.27		0.3																															0.51										0.05																											
Eukaryota;Ciliophora;Spirotrichea;Tontoniidae__o;Tontoniidae;Pseudotontonia;Pseudotontonia sp_ JG_2011a	Pseudotontonia sp_ JG_2011a	0.93	0.52	0.62	1.21		1.02	0.87					0.31			0.54		0.74											0.1	0.14	0.95	0.52	0.89		1.04	0.23	0.06	0.03	0.13	0.18	0.12	0.33	0.05						0.69				0.59						0.29																0.03			0.02								
	<<<Cryptophyceae__p>>>																																																																																					
Eukaryota;Cryptophyceae__p;Cryptophyceae;Cryptomonadales;Hemiselmidaceae;Hemiselmis;Hemiselmis cryptochromatica	Hemiselmis cryptochromatica						0.06		0.92			0.65	0.21	0.16	0.06			0.43	0.69	0.28		1.99	1.21	1.34		0.26	1.31	0.92	0.3	1.96		0.01				0.15	0.06				0.45	0.05	0.08	0.11									0.22		1.1					0.04	0.72	0.54	0.67	0.29						0.24	0.6							0.15								
Eukaryota;Cryptophyceae__p;Cryptophyceae;Kathablepharidacea;Katablepharidaceae;Leucocryptos;Leucocryptos marina	Leucocryptos marina																													0.06																																																								
Eukaryota;Cryptophyceae__p;Cryptophyceae;Kathablepharidacea;NA;NA;NA	Kathablepharidacea	0.13		0.32	0.26		0.09																																				0.02						0.08												0.05							0.13			0.24	0.11														
Eukaryota;Cryptophyceae__p;Cryptophyceae;NA;NA;NA;NA	Cryptophyceae								9.29	0.6	0.07	4.1	2.12	5.35	0.37	0.24	0.28	1.24	4.25	0.08	1.26	6.83	5.06	5.99		1.51	11.34	4.65	3.46	6.93					0.05	0.09	0.89				0.05									3.13		1.79	0.67	0.1	4.62	0.68	4.74	0.18	0.34	0.45	2.44	7.53	2.08	1.71		0.07		0.94	2.79		3.6	2.02	1.78	1.8	0.19	0.05	0.21	1.36	1.48	0.71	0.48	1.74	2.37	0.11	0.37	
Eukaryota;Cryptophyceae__p;Cryptophyceae;Pyrenomonadales;Geminigeraceae;NA;NA	Geminigeraceae	0.05			0.19		0.09		0.68	0.43	0.74	0.94	0.87	0.88	1.58	0.46	0.7	0.72	0.35	0.08	0.02	1.64	0.87	1.33	2.98	0.49	0.67	0.44	0.25	0.5	0.18	0.06				1.24	1.88	0.8	0.78	0.15	0.97	0.93	1.65	1.98	0.05		0.21	0.04			1.28	2.51	0.3	0.44	0.65	1.74	0.9	0.81	0.94	0.61	0.5	0.83	0.34	0.26	0.88		4.73		1.14	5.54		2.23	1.78	2.34	2.75	0.05	4.92	6.78	1.18	0.47		1.99	0.16		0.74	
Eukaryota;Cryptophyceae__p;Cryptophyceae;Pyrenomonadales;Geminigeraceae;Teleaulax;Teleaulax amphioxeia	Teleaulax amphioxeia		0.03	0.15	0.09			0.44	0.43	0.14	0.28	0.75	0.61	2.79	1.21	0.14		0.65	2.49	1.13	0.14	3.59	0.54	3.09		0.19	2.06	0.44	0.28	0.69	1.01	0.98	0.39	3.56	0.35	0.82	0.8	1.8	0.67	1.76	0.99	0.53	1.29	1.26			0.07	0.32	0.08			0.11	0.3	0.15	0.57	0.06	2.39	0.13	0.49	0.71	0.81	1.81	0.29	0.32			0.18	0.13				0.27	0.22	0.33		0.78	0.51	0.21				0.25		0.22		
Eukaryota;Cryptophyceae__p;Cryptophyceae;Pyrenomonadales;NA;NA;NA	Pyrenomonadales					0.57				0.03	0.04			0.16							0.25		0.19		0.16					0.16	0.05						0.06	0.06			0.1		0.11	0.02						0.69				0.01					0.05			0.36	0.11	0.58			0.28			0.35			1.3	0.36	0.2		0.36	0.4					0.08		0.12	
	<<<Dictyochophyceae__p>>>																																																																																					
Eukaryota;Dictyochophyceae__p;Dictyochophyceae;Dictyochales;Dictyocha__f;Dictyocha;Dictyocha speculum	Dictyocha speculum	4.08	9.1	7.3	6.71		1.24	3.13	0.25	0.88	0.47	0.55	0.36		0.61	1.39		0.56					0.46				0.17	0.13		1.21					0.1	0.05													3.91				1	0.24	0.29			0.08	1.25	0.79	0.5	0.36	0.04	0.07														0.04								
Eukaryota;Dictyochophyceae__p;Dictyochophyceae;Dictyochales;Dictyocha__f;Dictyocha;NA	Dictyocha						0.02	0.24		0.82								0.18																															0.21				0.74								0.32																									
Eukaryota;Dictyochophyceae__p;Dictyochophyceae;Florenciellales;Florenciella__f;Florenciella;NA	Florenciella	9.52	10.44	12.09	11.36	0.76	3.76	5.92	2.66	3.64	11.87	1.27	8.91	0.65	8.06	3.02	2.81	3.78	0.19		0.18	1.88	6.23	2.11	0.73	2.16	4.9	10.01	3.58	3.41	0.65	0.6	0.63	1.74	1.16	1.06	0.7	1.64	0.69	0.57	1.17	0.94	1.86	2.48	0.05	3	1.93	0.44	14.82	0.38	1.28	1.34	2.89	7.35	1.27	3.05	1.13	1.77	4.76	5.3		0.62	0.14	0.27	0.23		0.25		1.24	1.18	3.24	10.35					0.1	0.37								
Eukaryota;Dictyochophyceae__p;Dictyochophyceae;NA;NA;NA;NA	Dictyochophyceae																																													0.43				0.61									0.05														0.09		0.02				0.15				0.16			0.28
Eukaryota;Dictyochophyceae__p;Dictyochophyceae;Pedinellales;Helicopedinella__f;Helicopedinella;Helicopedinella sp_ RCC2284	Helicopedinella sp_ RCC2284	1.43	1.21	4.09	0.31		8.9		0.21		0.09	0.42	0.07	0.68	0.01	0.38	0.06	0.23	0.94				0.15		0.3					0.14	0.25			0.02	0.05	0.09	0.19			0.13		0.08	0.08	0.02					3.26			0.08	0.19	0.06	0.29		0.63	0.06	0.39	0.02		1.12	0.07	0.1	0.41	0.2			1.14		0.72															
Eukaryota;Dictyochophyceae__p;Dictyochophyceae;Pedinellales;Helicopedinella__f;Helicopedinella;NA	Helicopedinella	0.05	0.18	0.47			0.19		0.11	0.06	0.04		0.14				0.11	0.04					0.04		0.84							0.15	0.37	0.14	0.28	0.41	0.1		0.11	0.36	0.12	0.25	0.08	0.19					0.29			0.16												0.04			0.28			0.12		0.16				0.11										
Eukaryota;Dictyochophyceae__p;Dictyochophyceae;Pedinellales;NA;NA;NA	Pedinellales																																																															0.05		0.33	0.18				0.24															
Eukaryota;Dictyochophyceae__p;Dictyochophyceae;Pedinellales;Pedinella__f;NA;NA	Pedinella__f	0.3									0.06		0.01		0.07		0.17																																									0.04		0.1										0.12																
Eukaryota;Dictyochophyceae__p;Dictyochophyceae;Pedinellales;Pedinella__f;Pedinella;NA	Pedinella		0.03								0.04																					0.18	0.57	0.06	0.03	0.07	0.7		0.09	0.13	0.2	0.05		0.1						0.31				0.05					0.16								0.09						0.48		0.09		1.23					0.33	0.24	0.33	0.98	0.28
Eukaryota;Dictyochophyceae__p;Dictyochophyceae;Pedinellales;Pseudopedinella__f;NA;NA	Pseudopedinella__f													0.03											0.05												0.03								0.26					0.38												0.18	0.09	0.07		0.2	0.09		1.03					0.51			0.1		0.07	0.63			0.24		0.12	
Eukaryota;Dictyochophyceae__p;Dictyochophyceae;Pedinellales;Pseudopedinella__f;Pseudopedinella;NA	Pseudopedinella	0.13	0.82	0.65	0.79		0.11		0.14		0.04	0.1	0.14	0.23		0.14		0.07					0.09		0.19					0.11	0.14			0.13	0.25	0.57			0.2	0.5	1.29	0.24	0.32	0.24	0.05				0.71		0.7	0.4	0.3			0.31			0.1								0.15			0.24								0.25								
Eukaryota;Dictyochophyceae__p;Dictyochophyceae;Pedinellales;Pseudopedinella__f;Pseudopedinella;Pseudopedinella elastica	Pseudopedinella elastica	0.58	1.24	0.87	1.51		0.56	0.37	0.04		0.07		0.07	0.13		0.05	0.02	0.02	0.16						0.14						0.5	0.08	0.11		0.28	0.4		0.08	0.11	0.41	0.67	0.34	0.12	0.24			0.41		0.55		0.7	0.24				0.11	0.14					0.33		0.06									0.09					0.06						0.22	0.12	
	<<<Dinophyceae__p>>>																																																																																					
Eukaryota;Dinophyceae__p;Dinophyceae;Dinophysiales;Dinophysiaceae;Dinophysis;NA	Dinophysis	0.23			0.22		0.37	0.18	2.02	1.42	2.16	3.35	2.67	3.5	3.43	0.82	2.47	1.67	2.33	0.36	0.55	7.57	3.01	5.14	10.15	1.96	3.14	0.94	1.36	2.03	1.01	0.59	0.56	0.38		4.07	8.17	3.42	4.05	0.54	5.48	2.66	5.92	7.75			0.21	0.16			3.94	7.35	1.48	2.27	1.76	4.82	4.15	2.49	1.25	3.02	1.9	3.91	1.07	0.77	1.7	0.79	14.1		2.38	9.07	2.76	9.42	5.2	7.13	5.35		12.35	13.99	8.42	1.98	2.02	5.77	3.4	2.98	2.58	1.17
Eukaryota;Dinophyceae__p;Dinophyceae;Dinophysiales;Dinophysiaceae;Phalacroma;Phalacroma mitra	Phalacroma mitra	5.81	6.53	5.73	6.68		4.26	2.69	3.44	2.9	0.81	0.36	9.45	1.04	4.97	3.51		2.6			0.09	0.78	0.73	3.43		4.78	0.17	4.4	0.33	5.77				0.08		0.27	0.06	0.08		0.18		0.26	0.17	0.08			0.14		5.98	0.08			1.19	0.46	1.27	0.4	0.86	0.43	2.11	2.34	0.54		0.07	0.07					0.21			0.65						0.17								
Eukaryota;Dinophyceae__p;Dinophyceae;Gymnodiniales;Gymnodiniaceae;Gyrodinium;Gyrodinium helveticum	Gyrodinium helveticum																																																																															0.16						
Eukaryota;Dinophyceae__p;Dinophyceae;Gymnodiniales;Gymnodiniaceae;Gyrodinium;NA	Gyrodinium																																									0.02	0.03																																											
Eukaryota;Dinophyceae__p;Dinophyceae;Gymnodiniales;Kareniaceae;Karenia;Karenia mikimotoi	Karenia mikimotoi									0.85								0.29																																			0.59																																	
Eukaryota;Dinophyceae__p;Dinophyceae;Gymnodiniales;Kareniaceae;Karlodinium;Karlodinium veneficum	Karlodinium veneficum			0.55	0.18		0.32	1.14						0.16	0.17	0.27		0.07	0.13																														0.8				0.22						0.16	0.23				0.06																						
Eukaryota;Dinophyceae__p;Dinophyceae;NA;NA;NA;NA	Dinophyceae	0.03			0.1		0.24	0.11		0.11		0.03	0.04	0.1				0.48		0.04		0.06										0.07	0.04		0.13		0.1		0.04	0.1	0.3		0.03	0.01					0.1				0.04				0.09		0.08		0.09	0.11		0.01																		0.04				
Eukaryota;Dinophyceae__p;Dinophyceae;Suessiales;Biecheleriaceae;Biecheleria;NA	Biecheleria																																																																														0.15							
Eukaryota;Dinophyceae__p;Dinophyceae;Suessiales;Suessiaceae;NA;NA	Suessiaceae																																													0.43																																								
Eukaryota;Dinophyceae__p;Dinophyceae;Syndiniales;Ellobiopsidae;Thalassomyces;Thalassomyces fagei	Thalassomyces fagei																																																																			1.89																		
	<<<Eustigmatophyceae__p>>>																																																																																					
Eukaryota;Eustigmatophyceae__p;Eustigmatophyceae;NA;NA;NA;NA	Eustigmatophyceae		1.03	0.27				0.27	0.21		1.8			0.06			0.04	0.05			0.05							1.38							0.1																			1.08																																
	<<<Foraminifera>>>																																																																																					
Eukaryota;Foraminifera;Rotaliida__c;Rotaliida;Elphidiidae;Elphidium;Elphidium aculeatum	Elphidium aculeatum							2.44		3.95	0.2	3.58	0.03	0.03	0.06		1.4	0.52	0.22	0.64	16.51		0.19						0.05		0.81	0.9	0.88	0.03	0.1	0.14				0.23		0.03					1.17					0.05	4.49	0.84	2.25	0.31		0.75		0.08	1.72	0.18	1.05	19.92	1.17			0.81	0.31	0.18			1.91	0.28		0.13						0.33			0.25	0.65
Eukaryota;Foraminifera;Rotaliida__c;Rotaliida;Elphidiidae;Elphidium;Elphidium excavatum	Elphidium excavatum						0.01				2.42			0.52	0.14		2.21		0.47						0.28																													2.35		0.68	0.72	1.32				0.58			1.58					0.77																
Eukaryota;Foraminifera;Rotaliida__c;Rotaliida;Elphidiidae;Elphidium;Elphidium margaritaceum	Elphidium margaritaceum													0.52					0.57											0.1								0.13														0.08					0.23					1.23	0.63						0.52		4.68	0.38														
Eukaryota;Foraminifera;Rotaliida__c;Rotaliida;Elphidiidae;Elphidium;Elphidium williamsoni	Elphidium williamsoni	0.85	4.1	3.24	4.23		6.73	4.43	8.76	6.25	1.16	5.47	1.47	2.82	7.28	11.59	0.98	7.44	1.42		0.69	0.11	0.12	0.14		0.16	1.5	0.91	0.33	2.03		0.03		0.1		0.83	1.34			0.08	0.02	0.02							2.9		0.12	2.94	5.97	0.58	7.31	0.77	2.03	1.83	12.53	6.92	5.29	2.42	0.16	0.75				0.67	2.17	0.35	1.08	1.31	17.5	28.51	38.86	1.82	17.02	20.38	31.46	28.22	11.36	21.99	21.03	10.93	6.02	1.69
Eukaryota;Foraminifera;Rotaliida__c;Rotaliida;Elphidiidae;NA;NA	Elphidiidae						0.07																																																																					0.16										
Eukaryota;Foraminifera;Rotaliida__c;Rotaliida;Glabratellidae;Planoglabratella;Planoglabratella opercularis	Planoglabratella opercularis																																																																								2.08													
Eukaryota;Foraminifera;Rotaliida__c;Rotaliida;NA;NA;NA	Rotaliida															0.05																					0.32													0.76		0.08					3.02			0.04						0.13			0.21				0.13	0.1	0.09		0.92	0.04						0.99	0.12	0.52
Eukaryota;Foraminifera;Rotaliida__c;Rotaliida;Nonionidae;Haynesina;Haynesina orbiculare	Haynesina orbiculare																																																																																					1.01
Eukaryota;Foraminifera;Rotaliida__c;Rotaliida;Rotaliidae;Pararotalia;Pararotalia nipponica	Pararotalia nipponica		0.82		1.53	2.67		1.24	1.95	0.77	2.23	1.4	5.08	2.66	1.19	2.37	2.36	0.77	0.76	0.48		0.45	3.59	0.38	2.91	0.21	0.17	3.62		4.33			0.59	0.45		1.35	0.89	0.15		1.29	0.47	1.03	0.24	0.3		5.44		1.04	0.59	3.13	1.86	3.23		1.44	2.21	3.2	3.43	2.39	3.09	1.06	1.17	1.66	0.49		1.05		2.12	1.35	3.31	1.94							0.82			1.03					1.6	
Eukaryota;Foraminifera;Rotaliida__c;Rotaliida;Virgulinella__f;Virgulinella;Virgulinella fragilis	Virgulinella fragilis							0.63			2.16	0.07			0.31		0.85			0.56																														8.1				2.24				0.49		0.29																										
	<<<Haptophyta>>>																																																																																					
Eukaryota;Haptophyta;Coccolithales__c;Coccolithales;NA;NA;NA	Coccolithales																																																																										0.16											
Eukaryota;Haptophyta;Isochrysidales__c;Isochrysidales;Noelaerhabdaceae;NA;NA	Noelaerhabdaceae	0.75	0.52	0.87	0.66		2.51			3.38				1.85		8.82		0.99	1.45																														0.61			0.69	6.71				2.08		7.2		0.41	1.16																								
Eukaryota;Haptophyta;NA;NA;NA;NA;NA	Haptophyta	2.28	2.52	1.94	2.46		3.23	4.92	5.09	2.05	2.42	1.89	6.92	0.52	8.43	0.76	0.66	2.73	0.13	0.12	0.55	0.6	2.15	1.05	0.45	34.15	16.07	1.53	10.04	0.43				0.11		0.01		0.09		0.08	0.25	0.07	0.15	0.04					1.99			0.59	1.52	2.01	2.45	1.94	0.86	1.61	0.94	7.16	1.63		0.25	0.15				1.21	1.86	0.18	4.68	1.58						0.08								
Eukaryota;Haptophyta;Phaeocystales__c;Phaeocystales;NA;NA;NA	Phaeocystales	0.73	0.3	0.5	0.21		0.85	0.07	0.1																					0.05																			0.26																					0.12																
Eukaryota;Haptophyta;Phaeocystales__c;Phaeocystales;Phaeocystaceae;NA;NA	Phaeocystaceae																								0.12					0.03																																																								
Eukaryota;Haptophyta;Phaeocystales__c;Phaeocystales;Phaeocystaceae;Phaeocystis;NA	Phaeocystis			0.17	0.67	4.57	0.96	2.75	3.63	4.35	9.92	10.18	3.19	4.31	3.33	4.9	7.4	11.17	3.93	1.93	1.76	8.36	2.88	11.01	30.86	5.58	9.82	2.42	5.72	4.74	0.83	0.97	1.34	0.57		3.49	8.65	3.94	5.05	0.75	8.46	2.29	7.36	7.75	0.73	2.86	5.25	2.89	0.64	1.53	11.37	3.96	2.37	7.34	10.66	7.36	3.66	5.44	4.57	2.86	7.91	4.23	7.59	1.92	4.56	1.51	27.79	0.4	2.07	9.42	3.96	9.37	2.38	1.36	0.63	0.21	0.72	5.46	0.59	0.55	0.22	1.91	0.4	2.32	0.61	0.4
Eukaryota;Haptophyta;Prymnesiales__c;Prymnesiales;Chrysochromulinaceae;Chrysochromulina;Chrysochromulina apheles	Chrysochromulina apheles	0.98	1	0.85	0.75	0.57	0.84	0.94	1.42	0.68	1.73	0.36	1.47	0.39	0.38	1.41	1.02	0.75	0.13	2.25		0.8	1.35	0.25	2.55	7.02	4.42	1	1.87	0.98	1.62	0.64	1.04	8.78	2.18	0.15	0.86	0.06	0.53	0.59	0.99	0.36	1.02	1.1	0.28				0.5			0.16	1.3	1.33	0.29	1.14		0.72	0.78	0.25	0.32		0.4	0.12	0.53		1.87	1.75		0.82	0.6	1.03				0.48		0.12		0.47			0.55		0.49	0.2
Eukaryota;Haptophyta;Prymnesiales__c;Prymnesiales;Chrysochromulinaceae;Chrysochromulina;Chrysochromulina camella	Chrysochromulina camella	1.03	0.46	0.22	0.69		1.2	0.32	0.62	0.28	0.97		0.76	0.06	0.09		1.62						0.16		0.49			0.35		0.48		0.25	0.15	0.11	0.63	0.12	0.32			0.47	0.15	0.39	0.17	0.16	0.68			0.56	0.45		1.51	0.27		1.31		0.43		1.57	0.1			0.11				0.2	0.55			0.94	0.24											0.08		0.22		
Eukaryota;Haptophyta;Prymnesiales__c;Prymnesiales;Chrysochromulinaceae;Chrysochromulina;Chrysochromulina campanulifera	Chrysochromulina campanulifera	0.23	0.3	0.4	0.38		0.99	0.23		0.37			0.04	0.06		0.08																			0.25	0.07		0.18	0.24			0.02							0.35			0.13	0.22																								0.21									
Eukaryota;Haptophyta;Prymnesiales__c;Prymnesiales;Chrysochromulinaceae;Chrysochromulina;Chrysochromulina elegans	Chrysochromulina elegans	0.13	0.21		0.03		0.73	0.42	0.47	0.4	3.36	0.26	1.92		0.33	0.3	0.77	0.38			0.05	0.02	0.67		0.35	0.56	0.26		0.23	0.16		0.04	0.04	0.1			0.03		0.09										0.26					2.69		0.17		0.54	0.16	0.02	0.09			0.04																						
Eukaryota;Haptophyta;Prymnesiales__c;Prymnesiales;Chrysochromulinaceae;Chrysochromulina;Chrysochromulina sp_ MBIC10513	Chrysochromulina sp_ MBIC10513								0.09																																																																													
Eukaryota;Haptophyta;Prymnesiales__c;Prymnesiales;Chrysochromulinaceae;Chrysochromulina;Chrysochromulina sp_ clone 124	Chrysochromulina sp_ clone 124		0.15		0.19		0.19	0.06	0.04		0.09		0.03				0.74						0.04		0.16		0.04			0.08	0.23	0.24	0.31			0.04				0.26		0.11								0.15																																				
Eukaryota;Haptophyta;Prymnesiales__c;Prymnesiales;Chrysochromulinaceae;Chrysochromulina;Chrysochromulina throndsenii	Chrysochromulina throndsenii	0.1	0.33	0.4	0.53	17.52	0.74	0.38	0.54	1.99	0.3	0.07	0.27	0.32		4.46	0.04	0.86		0.93		0.15	0.04	0.25	1.24	1.39		0.18		0.16	0.27	0.24		2.76	1.19	0.08	0.32	0.15	0.36	0.11	0.42	0.29	0.32	0.5		5.87	12.91	6.45	0.47			0.27	2.04	0.18	0.25	0.23		0.03	5.38	0.09	0.36	0.07	0.29			0.13	0.95				0.12					0.29									0.12	
Eukaryota;Haptophyta;Prymnesiales__c;Prymnesiales;Chrysochromulinaceae;Chrysochromulina;NA	Chrysochromulina	1.13	1.97	1.89	1.54		1.42	1.34	1	1.08	4.37	0.07	3.38	0.52	2.27	1.88	3.32	0.63	0.09	0.6	0.07	0.19	1.95	0.09	0.87	6.12	0.99	1.28	1.03	2.16	0.52	0.41	0.52	2.17	0.48	0.15	0.06	0.46	0.38	0.16	0.17	0.23	0.05	0.12					1.06				1.22	4.17	0.29	0.71		1.86	0.83	2.26	0.59			0.02			0.49			0.35	1.2	0.76														
Eukaryota;Haptophyta;Prymnesiales__c;Prymnesiales;NA;NA;NA	Prymnesiales	2.43	2.52	2.49	2.7		2.15	1.23	0.48	1.28	2.66		0.55	0.71	6.07	1.41	1.77	0.66	0.31				0.43	0.02				0.15	0.08	0.21	0.18	0.11	0.32	0.83	0.25	0.11		0.12	0.18	0.44		0.07	0.18	0.16		0.14			1.81			0.56	0.56	3.63		0.63	0.41	2.7	1.22	6.15	0.05	0.69	0.13		0.12					0.18		0.33	0.52	1.16	1.38			0.38				0.75			0.37	
Eukaryota;Haptophyta;Prymnesiales__c;Prymnesiales;Prymnesiaceae;NA;NA	Prymnesiaceae										0.02																																																																											
Eukaryota;Haptophyta;Prymnesiales__c;Prymnesiales;Prymnesiaceae;Prymnesium;NA	Prymnesium												0.04	0.55	0.32	0.03			0.5	0.12		0.41	0.36	0.38			0.04	2.49	0.12	0.87																											0.59		0.26			0.47	0.09						0.52			0.27														
Eukaryota;Haptophyta;Prymnesiales__c;Prymnesiales;Prymnesiaceae;Prymnesium;Prymnesium polylepis	Prymnesium polylepis														0.24																																																																							
