"All percentages range 0-100% of the total count for either Eukaryotes or Prokaryotes, with exception of the first three data rows (% Known, % Eukaryote, % Prokaryote), which represent %s of total reads."																																																																																						
Taxonomy String (K->S)	Terminal Taxa	MP_E25_2B_DY20	MP_E29_1B_DY20	MP_E31_1B_DY20	MP_E33_1B_DY20	MP_E27_1B_DY20	MP_E35_1B_DY20	MP_E37_1B_DY20	MP_E71_1B_DY20	MP_E294_1B_NO20	MP_E40_1B_DY20	MP_E290_1B_NO20	MP_E42_1B_DY20	MP_E288_1B_NO20	MP_E46_2B_DY20	MP_E296_1B_NO20	MP_E44_DY20	MP_E298_1B_NO20	MP_E300_1B_NO20	MP_E272_2B_NO20	MP_E268_1B_NO20	MP_E266_2B_NO20	MP_E48_1B_DY20	MP_E264_1B_NO20	MP_E50_1B_DY20	MP_E262_1B_NO20	MP_E260_1B_NO20	MP_E52_1B_DY20	MP_E258_1B_NO20	MP_E54_1B_DY20	MP_E63_1B_DY20	MP_E61_1B_DY20	MP_E59_1B_DY20	MP_E236_1B_NO20	MP_E57_1B_DY20	MP_E65_1B_DY20	MP_E256_1B_NO20	MP_E254_NO20	MP_E252_2B_NO20	MP_E67_1B_DY20	MP_E248_1B_NO20	MP_E69_1B_DY20	MP_E246_1B_NO20	MP_E244_1B_NO20	MP_E26_1B_DY20	MP_E30_1B_DY20	MP_E32_1B_DY20	MP_E34_1B_DY20	MP_E28_1B_DY20	MP_E36_1B_DY20	MP_E38_1B_DY20	MP_E72_1B_DY20	MP_E293_1B_NO20	MP_E39_1B_DY20	MP_E289_1B_NO20	MP_E43_1B_DY20	MP_E287_1B_NO20	MP_E47_1B_DY20	MP_E295_1B_NO20	MP_E45_1B_DY20	MP_E297_1B_NO20	MP_E299_1B_NO20	MP_E271_1B_NO20	MP_E267_1B_NO20	MP_E49_1B_DY20	MP_E263_2B_NO20	MP_E51_1B_DY20	MP_E261_2B_NO20	MP_E259_1B_NO20	MP_E53_1B_DY20	MP_E257_1B_NO20	MP_E55_1B_DY20	MP_E64_1B_DY20	MP_E62_1B_DY20	MP_E60_1B_DY20	MP_E235_1B_NO20	MP_E58_1B_DY20	MP_E66_1B_DY20	MP_E255_1B_NO20	MP_E253_NO20	MP_E251_1B_NO20	MP_E68_1B_DY20	MP_E247_1B_NO20	MP_E70_1B_DY20	MP_E245_1B_NO20	MP_E243_1B_NO20
Eukaryota;Bacillariophyta;Bacillariophyceae;Naviculales;Pleurosigmataceae;Pleurosigma;Pleurosigma inscriptura	Pleurosigma inscriptura													0.1																																									0.08		0.32						0.02																							
Eukaryota;Bacillariophyta;Coscinodiscophyceae;Chaetocerotales;Attheyaceae;Attheya;Attheya longicornis	Attheya longicornis							0.04			0.12	0.1		0.03				0.04	0.03		0.09										0.29	0.07	0.24		0.28					0.13					0.14			0.04		0.46		0.16		0.07				0.04					0.11	0.04						0.24							0.26									
Eukaryota;Bacillariophyta;Coscinodiscophyceae;Chaetocerotales;Attheyaceae;Attheya;NA	Attheya													0.1																																																																								
Eukaryota;Bacillariophyta;Coscinodiscophyceae;Chaetocerotales;Chaetocerotaceae;Chaetoceros;Chaetoceros calcitrans	Chaetoceros calcitrans																											0.28																																																										
Eukaryota;Bacillariophyta;Coscinodiscophyceae;Chaetocerotales;Chaetocerotaceae;Chaetoceros;Chaetoceros costatus	Chaetoceros costatus							0.87		0.14				1.14	0.09		0.45	0.02	0.38	1.97	0.27		0.04		0.05					0.08	0.65	0.43	0.4	4.92	2.6	0.13	0.13	1	0.65	0.37		0.05	0.11	0.35	0.05								0.3	0.18		1	0.81	0.08		0.05		0.83	1.59	0.33	0.35		0.37	0.67		0.65		0.05			0.03	4.97	0.15	0.02	0.37	0.08	0.04		0.16		0.37	0.44
Eukaryota;Bacillariophyta;Coscinodiscophyceae;Chaetocerotales;Chaetocerotaceae;Chaetoceros;Chaetoceros sp_	Chaetoceros sp_							0.3		0.23	0.07									3.74	1.17		4.51			0.03																										0.67		0.61		0.34		0.58	0.05				0.09	0.38	3.63				0.83																	
Eukaryota;Bacillariophyta;Coscinodiscophyceae;Chaetocerotales;Chaetocerotaceae;Chaetoceros;NA	Chaetoceros					0.95	0.01	5.36		0.77	2.74			0.58	0.14	0.27	2.08	0.09	0.16	0.24	0.39		0.35		1.22					0.16	0.2	0.52	0.28	0.08	0.03	0.3	0.51	0.66	0.51	0.36		0.11	0.45	0.33	0.02	15.88	6.35	3.61		3.82	6.15	1.34	0.56	5.79		3.03	0.68	3.63	0.49	0.07		0.22	0.54		2.75	0.59	2.36	1.75	1.03	1.24		0.38	7.24	4.17	6.07	0.8	11.38	2.75	0.89	0.71	0.83	12.03	4.9	10.04	4.91	1.33
Eukaryota;Bacillariophyta;Coscinodiscophyceae;Chaetocerotales;Chaetocerotaceae;NA;NA	Chaetocerotaceae							1.85		0.06	1.25			0.06			0.68			1.13			0.07		0.47						0.16	0.25	0.37		0.28	0.12	0.06	0.25	0.07	0.11		0.05	0.03	0.07	0.02	4.29	1.04	1.16		0.61	1.28	0.45	0.11	1.32		0.63		1.17	0.05	0.04	0.14	0.04	0.07	0.11	0.41	0.33	0.37						2.51	1.21	2.63	0.11	2.67	0.67			0.13	2.7	0.4	1.88		0.08
Eukaryota;Bacillariophyta;Coscinodiscophyceae;Chaetocerotales;NA;NA;NA	Chaetocerotales							1.4		0.09	1.05	0.2	0.17	0.1	0.23		1.66	0.2		2.05	7.48		1.24	0.16	0.05					0.03	5.03	8.44	8.42		2.68	0.16		0.11		2.04		0.4		0.07	0.45	0.72	0.35	0.28		1.15	1.74	0.96	1.19	1.74	0.61	0.29		0.79	0.05	0.22	0.27		1.1	5.76	2.22	0.07	0.18						1.21	0.39	0.11	0.29	0.41		0.22			0.54		0.11		
Eukaryota;Bacillariophyta;Coscinodiscophyceae;Coscinodiscales;Coscinodiscaceae;Coscinodiscus;Coscinodiscus granii	Coscinodiscus granii											3.09		0.49	0.42		0.6	0.25	0.19		0.25																																0.52		2.57	0.54				0.63	2.98		0.43	1.06	17.38	0.53			3.51																	
