sample_name	sample_title	bioproject_accession	organism	collection_date	depth	env_broad_scale	env_local_scale	env_medium	geo_loc_name	lat_lon	alkalinity	alkalinity_method	alkyl_diethers	altitude	aminopept_act	ammonium	atmospheric_data	bac_prod	bac_resp	bacteria_carb_prod	biomass	bishomohopanol	bromide	calcium	carb_nitro_ratio	chem_administration	chloride	chlorophyll	collection_method	conduc	density	diether_lipids	diss_carb_dioxide	diss_hydrogen	diss_inorg_carb	diss_inorg_nitro	diss_inorg_phosp	diss_org_carb	diss_org_nitro	diss_oxygen	down_par	elev	fluor	glucosidase_act	isolation_source	light_intensity	magnesium	mean_frict_vel	mean_peak_frict_vel	misc_param	n_alkanes	neg_cont_type	nitrate	nitrite	nitro	omics_observ_id	org_carb	org_matter	org_nitro	organism_count	oxy_stat_samp	part_org_carb	part_org_nitro	perturbation	petroleum_hydrocarb	ph	phaeopigments	phosphate	phosplipid_fatt_acid	photon_flux	pos_cont_type	potassium	pressure	primary_prod	redox_potential	rel_to_oxygen	salinity	samp_collect_device	samp_mat_process	samp_size	samp_store_dur	samp_store_loc	samp_store_temp	samp_vol_we_dna_ext	silicate	size_frac	size_frac_low	size_frac_up	sodium	soluble_react_phosp	source_material_id	sulfate	sulfide	suspend_part_matter	temp	tidal_stage	tot_depth_water_col	tot_diss_nitro	tot_inorg_nitro	tot_nitro	tot_part_carb	tot_phosp	turbidity	water_current	description	host	ref_biomaterial
E258_2B_NO20			Environmental Sample	2020-09	5	ENVO:01000035	ENVO:01000666	ENVO:00000015	USA:Chuckchi	68.24158333 -167.1214833																		47.2 g L-1	CTD Niskin											297.04 umolkg	0.019412				CTD collected water																																31.203 ppt	Niskin		1L															4.3917 C												
E54_2B_DY20			Environmental Sample	2020-10	3	ENVO:01000035	ENVO:01000666	ENVO:00000015	USA:Chuckchi	68.303 -166.9248333																		1.6482 g L-1	CTD Niskin											295.27965 umolkg	0.76037				CTD collected water																																30.3093 ppt	Niskin		1L															7.7697 C												
E63_1B_DY20			Environmental Sample	2020-09	3	ENVO:01000035	ENVO:01000666	ENVO:00000015	USA:Beaufort	71.19283333 -160.2753333																		0.1366 g L-1	CTD Niskin											347.20473 umolkg	100.34				CTD collected water																																28.4695 ppt	Niskin		1L															3.3532 C												
E61_1B_DY20			Environmental Sample	2020-09	3	ENVO:01000035	ENVO:01000666	ENVO:00000015	USA:Beaufort	71.4549 -161.0373																		0.239 g L-1	CTD Niskin											350.865927 umolkg	90.791				CTD collected water																																28.0648 ppt	Niskin		1L															3.0666 C												
E59_1B_DY20			Environmental Sample	2020-09	3	ENVO:01000035	ENVO:01000666	ENVO:00000015	USA:Beaufort	71.7241 -161.7726																		0.4457 g L-1	CTD Niskin											352.765752 umolkg	10.835				CTD collected water																																28.108 ppt	Niskin		1L															2.8122 C												
E236_1B_NO20			Environmental Sample	2020-09	3	ENVO:01000035	ENVO:01000666	ENVO:00000015	USA:Beaufort	71.83333333 -162.1333333																		58.8 g L-1	CTD Niskin											332.31 umolkg	5.2906				CTD collected water																																29.276 ppt	Niskin		1L															1.7911 C												
E57_1B_DY20			Environmental Sample	2020-10	3	ENVO:01000035	ENVO:01000666	ENVO:00000015	USA:Beaufort	71.70516667 -165.5841667																		0.374 g L-1	CTD Niskin											331.024467 umolkg	0.8795				CTD collected water																																30.3091 ppt	Niskin		1L															4.4695 C												
E65_1B_DY20			Environmental Sample	2020-09	3	ENVO:01000035	ENVO:01000666	ENVO:00000015	USA:Beaufort	71.2524 -157.1410667																		0.4247 g L-1	CTD Niskin											337.767024 umolkg	0.87838				CTD collected water																																30.9388 ppt	Niskin		1L															3.9153 C												
E256_1B_NO20			Environmental Sample	2020-09	6	ENVO:01000035	ENVO:01000666	ENVO:00000015	USA:Beaufort	71.24741667 -157.16415																		33.7 g L-1	CTD Niskin											336.25 umolkg	0.013408				CTD collected water																																31.291 ppt	Niskin		1L															1.3469 C												
E254_NO20			Environmental Sample	2020-10	3	ENVO:01000035	ENVO:01000666	ENVO:00000015	USA:Beaufort	71.28333333 -157.2333333																		36 g L-1	CTD Niskin											331.07 umolkg	0.10043				CTD collected water																																29.386 ppt	Niskin		1L															2.0572 C												
